Business,City,State,Category,Latitude,Longitude,Price,Reviews,Rating
The Cinnamon Snail,New York,NY,Vegan,40.7495842,-73.99167633,1,990,4.5
The Meatball Shop,New York,NY,Italian,40.721651,-73.988746,2,2727,4
Zen Ramen & Sushi,New York,NY,Sushi Bars,40.75185,-73.98892,2,1344,4.5
McSorleys Old Ale House,New York,NY,Dive Bars,40.72884,-73.98965,1,1730,4
Jongro BBQ,New York,NY,Korean,40.747514,-73.986884,2,1782,4
Sundaes and Cones,New York,NY,Ice Cream & Frozen Yogurt,40.730934,-73.989318,1,1464,4.5
The Seafire Grill,New York,NY,Seafood,40.75470121,-73.97225551,3,1189,4.5
Sushi Yasaka,New York,NY,Japanese,40.779583,-73.983482,2,1698,4
Stumptown Coffee Roasters,New York,NY,Coffee & Tea,40.74566634,-73.98809163,2,1377,4.5
La Sirène-Soho,New York,NY,French,40.72436422,-74.00570869,3,1583,4.5
Shake Shack,New York,NY,Burgers,40.75841213,-73.98918226,2,3003,4
Pio Pio 8,New York,NY,Latin American,40.76050629,-73.99456449,2,2284,4
Max Brenner - New York,New York,NY,Desserts,40.73426706,-73.99105492,2,4567,3.5
Calle Dao - Bryant Park,New York,NY,Cuban,40.752155,-73.984223,2,1641,4
KazuNori  | The Original Hand Roll Bar,New York,NY,Sushi Bars,40.74519,-73.98824,2,824,4.5
Veniero's,New York,NY,Bakeries,40.72941,-73.98454,2,1980,4
Sushi Nakazawa,New York,NY,Japanese,40.73174652,-74.00454938,4,1324,4.5
Quality Meats,New York,NY,Steakhouses,40.764958,-73.976206,4,1920,4
Momofuku Ssam Bar,New York,NY,American (New),40.73169,-73.985846,3,2401,4
Breakroom,New York,NY,Burgers,40.71669072,-73.99994401,2,1557,4.5
Uva,New York,NY,Italian,40.7722,-73.95566,2,2267,4
Olio e Piú,New York,NY,Pizza,40.733826,-73.999852,2,1952,4
Minetta Tavern,New York,NY,French,40.7300048,-74.00060738,3,2141,4
The NoMad Restaurant,New York,NY,French,40.7449,-73.988482,3,1434,4
Beyond Sushi,New York,NY,Sushi Bars,40.7329,-73.98588,2,911,4.5
Bleecker Street Pizza,New York,NY,Pizza,40.7320627,-74.00365523,1,2220,4
Friedman's,New York,NY,American (New),40.748297,-73.990649,2,2273,4
Coffee Project NY,New York,NY,Coffee & Tea,40.72699,-73.98922,2,647,4.5
Milk & Cream Cereal Bar,New York,NY,Ice Cream & Frozen Yogurt,40.71958,-73.99654,2,905,4.5
Boucherie West Village,New York,NY,French,40.733063,-74.0028772,3,1266,4.5
Raku,New York,NY,Japanese,40.72649881,-73.98665261,2,962,4.5
Dinosaur Bar-B-Que,Harlem,NY,Barbeque,40.81809834,-73.96087293,2,2959,4
John's of Bleecker Street,New York,NY,Pizza,40.73158,-74.00332,2,1909,4
The MasalaWala,New York,NY,Indian,40.72191,-73.98666,2,1416,4.5
Shake Shack,New York,NY,Burgers,40.78082071,-73.97655167,2,2346,4
Absolute Bagels,New York,NY,Bakeries,40.80251,-73.96745,1,1337,4.5
Frisson Espresso,New York,NY,Coffee & Tea,40.76081085,-73.98899841,1,667,4.5
Cafe Mogador,New York,NY,Moroccan,40.72725877,-73.98450851,2,1851,4
The Lobster Place,New York,NY,Seafood Markets,40.74274139,-74.00601181,2,1284,4
Luke's Lobster East Village,New York,NY,Seafood,40.72694016,-73.98526001,2,1503,4
Brooklyn Bagel & Coffee Company,New York,NY,Bagels,40.746183,-73.997642,1,1356,4
Cha-An,New York,NY,Japanese,40.72947,-73.98813,2,1740,4
Momofuku Noodle Bar,New York,NY,Ramen,40.72920638,-73.98448482,2,4180,3.5
Cheeky Sandwiches,New York,NY,Sandwiches,40.7158,-73.99169,1,1132,4.5
Dough,New York,NY,Desserts,40.73931,-73.99243,1,1451,4
Vanessa's Dumpling House,New York,NY,Chinese,40.71839,-73.9917399,1,2560,4
Sushi by Bou Times Square,New York,NY,Sushi Bars,40.75851,-73.98322,3,488,4.5
The Modern,New York,NY,American (New),40.76100609,-73.97677256,4,966,4.5
Xi'an Famous Foods,New York,NY,Chinese,40.75606,-73.9808,1,1602,4
Babbo,New York,NY,Italian,40.732283,-73.999284,4,2367,4
Veselka,New York,NY,Diners,40.7289505,-73.98696899,2,2481,4
Momosan Ramen & Sake,New York,NY,Ramen,40.74993,-73.97746,2,1537,4
Xi'an Famous Foods,New York,NY,Chinese,40.72782,-73.98551,2,1576,4
Cookshop,New York,NY,American (New),40.7454251,-74.0056084,2,2046,4
Amy Ruth's,New York,NY,Southern,40.80248,-73.95038,2,2532,4
Jajaja,New York,NY,Mexican,40.71415303,-73.9904248,2,796,4.5
Banh Mi Saigon,New York,NY,Vietnamese,40.71936,-73.99667,1,1427,4
Hatsuhana Sushi Restaurant,New York,NY,Japanese,40.75703,-73.97692,3,1268,4
Pokeworks,New York,NY,Sushi Bars,40.75159343,-73.98588181,2,1729,4
Gyu-Kaku Japanese BBQ,New York,NY,Japanese,40.72822,-73.99142,3,1667,4
Aquagrill,New York,NY,Seafood,40.72535456,-74.00370109,3,1337,4
il laboratorio del gelato,New York,NY,Ice Cream & Frozen Yogurt,40.72223536,-73.98706327,2,1290,4
Her Name Is Han,New York,NY,Korean,40.74626,-73.98473,2,1114,4
Shanghai 21,New York,NY,Shanghainese,40.7144199,-73.99889,2,1591,4
La Lanterna Di Vittorio,New York,NY,Italian,40.73069,-74.00015,2,1427,4
Toloache 50,New York,NY,Mexican,40.762325,-73.9855741,2,1865,4
Snowdays,New York,NY,Shaved Ice,40.72903108,-73.98472846,1,1148,4
BCD Tofu House,New York,NY,Korean,40.74750363,-73.98624472,2,1935,4
Sweet Chick,New York,NY,Southern,40.7217399,-73.98739,2,1546,4
Del Posto,New York,NY,Italian,40.7434156,-74.00753301,4,1400,4
Go! Go! Curry!,New York,NY,Japanese Curry,40.75463,-73.99115,2,1431,4
City Cakes,New York,NY,Desserts,40.74206,-73.99999,2,633,4.5
Los Mariscos,New York,NY,Seafood,40.74207,-74.00565,1,533,4.5
Vida Verde,New York,NY,Cocktail Bars,40.7650089,-73.983215,2,1025,4.5
Becco,New York,NY,Italian,40.76083,-73.98981,3,2784,3.5
Buvette,New York,NY,French,40.732704,-74.004317,2,1673,4
OBAO,New York,NY,Vietnamese,40.7606544,-73.991332,2,2349,4
Red Bamboo,New York,NY,Vegetarian,40.73131837,-74.00035465,2,1678,4
Ayza Wine & Chocolate Bar,New York,NY,Wine Bars,40.74717747,-73.98701131,2,1598,4
88 Lan Zhou Handmade Noodle,New York,NY,Chinese,40.7155,-73.99675,1,1750,4
Bohemian Restaurant,New York,NY,Japanese,40.72639,-73.99236,3,738,4.5
Mighty Quinn's Barbeque,New York,NY,Barbeque,40.727574,-73.988623,2,1726,4
Pylos,New York,NY,Greek,40.72608,-73.98415,3,1101,4.5
99 Favor Taste,New York,NY,Chinese,40.7176199,-73.99249,2,1726,4
Ootoya Chelsea,New York,NY,Japanese,40.738767,-73.992778,2,1349,4
TONCHIN NEW YORK,New York,NY,Ramen,40.7502727,-73.9844951,2,918,4.5
Cask Bar & Kitchen,New York,NY,Bars,40.745414,-73.979004,2,1323,4
Havana Central,New York,NY,Cuban,40.75831,-73.98416,2,2176,4
Luke's Lobster Upper East Side,New York,NY,Seafood,40.77473085,-73.95454919,2,1129,4
Breads Bakery,New York,NY,Bakeries,40.73661,-73.99181,2,943,4.5
ChikaLicious Dessert Bar,New York,NY,Desserts,40.729664,-73.98631817,2,1307,4
Little Collins,New York,NY,Coffee & Tea,40.759912,-73.96964,2,786,4.5
The Dead Rabbit,New York,NY,Cocktail Bars,40.70329,-74.01102,2,1495,4
Big Gay Ice Cream Shop,New York,NY,Ice Cream & Frozen Yogurt,40.7264,-73.98411,1,1976,4
Turntable Chicken Jazz,New York,NY,Chicken Wings,40.74828,-73.98649,2,1954,4
Maharlika,New York,NY,Filipino,40.72695,-73.98611,2,1480,4
La Contenta,New York,NY,Mexican,40.71873,-73.98691,2,710,4.5
Beyond Sushi,New York,NY,Sushi Bars,40.76331,-73.97717,2,634,4.5
Alta,New York,NY,Tapas Bars,40.73451638,-73.99833696,3,1847,4
Num Pang Kitchen,New York,NY,Cambodian,40.73396,-73.99312,2,1399,4
Yuca Bar,New York,NY,Latin American,40.7262,-73.9836,2,1747,4
Crif Dogs,New York,NY,Hot Dogs,40.727157,-73.983718,1,2076,4
Candle 79,New York,NY,Vegetarian,40.774627,-73.958697,2,1304,4
by CHLOE. West Village,New York,NY,Vegan,40.729219,-74.001021,2,1621,4
Ai Fiori,New York,NY,Italian,40.7500752,-73.9837835,4,1217,4
Tsurutontan Udon Noodle Brasserie,New York,NY,Japanese,40.73678,-73.9910699,2,1699,4
The Little Owl,New York,NY,Breakfast & Brunch,40.73238083,-74.005301,3,1248,4
Patzeria Family & Friends,New York,NY,Italian,40.7615,-73.98754,2,1020,4.5
Patzeria Perfect Pizza,New York,NY,Pizza,40.75946539,-73.98678571,1,1555,4
Keste,New York,NY,Pizza,40.73154,-74.00293,2,1377,4
Levain Bakery,New York,NY,Bakeries,40.8049739,-73.9551513,2,698,4.5
Levain Bakery,New York,NY,Bakeries,40.781532,-73.979286,2,477,4.5
Churrascaria Plataforma,New York,NY,Brazilian,40.76202,-73.98765,4,1324,4
Benjamin Steakhouse,New York,NY,Steakhouses,40.7518,-73.97896,4,1149,4
Luke's Lobster FiDi,New York,NY,Seafood,40.7046213,-74.01077939,2,1114,4.5
Milk Bar East Village,New York,NY,Bakeries,40.73188939,-73.98573886,2,3285,3.5
Ice & Vice,New York,NY,Desserts,40.71428427,-73.98687378,2,725,4.5
Beard Papa's,New York,NY,Bakeries,40.7822263,-73.9811905,1,803,4.5
THEP Thai Restaurant,New York,NY,Thai,40.77078,-73.95727,2,746,4.5
DOMODOMO,New York,NY,Japanese,40.72803,-74.00167,3,973,4.5
Shu Jiao Fu Zhou Cuisine Restaurant,New York,NY,Chinese,40.71842904,-73.9916929,1,767,4.5
Pommes Frites,New York,NY,Belgian,40.730022,-74.000152,1,841,4.5
Lupa,New York,NY,Italian,40.7276,-74.000045,3,1483,4
Root & Bone,New York,NY,Southern,40.72272,-73.98334,2,1546,4
Jungsik,New York,NY,Korean,40.71859102,-74.00888443,4,562,4.5
Nyonya,New York,NY,Asian Fusion,40.7190148,-73.9968228,2,2026,4
Parker & Quinn,New York,NY,American (New),40.75258622,-73.98507132,2,1290,4
Very Fresh Noodles,New York,NY,Taiwanese,40.7423387,-74.00625,2,874,4.5
Raclette,New York,NY,Sandwiches,40.7289298,-73.980601,2,1265,4
Gallaghers Steakhouse,New York,NY,Steakhouses,40.762876,-73.983837,3,1088,4
Ipanema Restaurant,New York,NY,Brazilian,40.75707222,-73.98077955,2,1299,4
Blossom,New York,NY,Vegetarian,40.745513,-74.002365,3,1021,4
Barn Joo,New York,NY,Korean,40.73684,-73.99069,2,1525,4
Blue Hill,New York,NY,American (New),40.73206403,-73.9996931,4,983,4.5
Kam Hing Coffee Shop,New York,NY,Bakeries,40.7182481,-73.99900441,1,632,4.5
Johny's Luncheonette,New York,NY,Diners,40.7444458,-73.99307251,1,923,4.5
Hangawi,New York,NY,Vegetarian,40.746737,-73.984662,3,1121,4
The Drunken Munkey - UES,New York,NY,Indian,40.78098,-73.94751,2,953,4.5
Cafe Katja,New York,NY,German,40.7177673,-73.990589,2,765,4.5
Claw Daddy's,New York,NY,Cajun/Creole,40.722071,-73.98847,2,1545,4
Ruby's Cafe,New York,NY,Burgers,40.7223288,-73.996326,2,1121,4
Cafeteria,New York,NY,American (New),40.74056759,-73.99807479,2,3242,3.5
Pig and Khao,New York,NY,Filipino,40.71926,-73.98475,2,1546,4
The Spotted Pig,New York,NY,Burgers,40.735611,-74.006673,3,2904,3.5
Mermaid Oyster Bar,New York,NY,Seafood,40.7287899,-74.00165,2,1060,4
Yakitori Totto,New York,NY,Japanese,40.765375,-73.983114,3,1275,4
Blue Ribbon Brasserie - SoHo,New York,NY,American (Traditional),40.725456,-74.003027,3,914,4.5
Takashi,New York,NY,Japanese,40.7313524,-74.0065048,3,971,4
Gaia Italian Café,New York,NY,Italian,40.721653,-73.985346,1,967,4.5
Rudy's Bar & Grill,New York,NY,Dive Bars,40.76004,-73.99182,1,1072,4
Mamoun's Falafel,New York,NY,Middle Eastern,40.72888496,-73.98846335,1,1150,4
Cuba Restaurant and Rum Bar,New York,NY,Cuban,40.729084,-73.998832,2,1511,4
Victor's Cafe,New York,NY,Cuban,40.7629499,-73.98403,3,1424,4
Union Square Cafe,New York,NY,American (New),40.73775,-73.987874,3,1184,4
Lillie's Victorian Establishment,New York,NY,Bars,40.7614625,-73.9860519,2,1405,4
Flex Mussels,New York,NY,Seafood,40.77637,-73.95646,2,1012,4
Sons of Thunder,New York,NY,Hot Dogs,40.74786,-73.97589,2,745,4.5
Nai Tapas,New York,NY,Tapas Bars,40.7267949,-73.9892815,2,883,4.5
Num Pang Kitchen,New York,NY,Cambodian,40.75038312,-73.97610788,2,1118,4
Whiskey Tavern,New York,NY,Whiskey Bars,40.71646,-73.99969,2,766,4.5
Minus10 Ice Cream,New York,NY,Ice Cream & Frozen Yogurt,40.71407,-73.99857,1,1268,4
Café Zaiya,New York,NY,Japanese,40.7523,-73.98043,1,1174,4
Cocoron,New York,NY,Japanese,40.72031,-73.99305,2,974,4
Jack's Wife Freda,New York,NY,Breakfast & Brunch,40.72213,-73.99756,2,1824,4
My Pie Pizzeria Romana,New York,NY,Italian,40.7608512,-73.9694809,1,711,4.5
Casellula,New York,NY,Wine Bars,40.76499,-73.98835,2,902,4
The Mermaid Inn,New York,NY,Seafood,40.7269999,-73.98844,2,1300,4
Nish Nush,New York,NY,Vegetarian,40.715688,-74.007695,2,687,4.5
Lady M Cake Boutique,New York,NY,Bakeries,40.775501,-73.962231,3,1050,4
Culture Espresso,New York,NY,Coffee & Tea,40.75219224,-73.98575631,2,909,4
Freemans,New York,NY,Breakfast & Brunch,40.721988,-73.992466,2,2016,4
Minca,New York,NY,Ramen,40.72412,-73.98288,2,1639,4
Russ & Daughters Cafe,New York,NY,Bagels,40.71962532,-73.98957589,2,929,4
Malatesta Trattoria,New York,NY,Italian,40.73285,-74.00847,2,1214,4
Burger Joint,New York,NY,American (Traditional),40.76426047,-73.97853336,2,2281,3.5
Don Antonio,New York,NY,Pizza,40.762711,-73.986708,2,1382,4
Print,New York,NY,American (New),40.76452,-73.99586,3,885,4
TAO Uptown,New York,NY,Asian Fusion,40.76269,-73.97147,3,2508,3.5
Hillstone Restaurant,New York,NY,Jazz & Blues,40.75824121,-73.96887678,3,1058,4
Pisillo Italian Panini,New York,NY,Italian,40.710558,-74.007594,2,570,4.5
Verlaine,New York,NY,Tapas/Small Plates,40.720079,-73.987785,2,1402,4
Tanoshi Sushi Sake Bar,New York,NY,Sushi Bars,40.767568,-73.952815,4,622,4.5
Dim Sum Palace,New York,NY,Dim Sum,40.76015,-73.9893699,2,1120,4
Van Leeuwen Ice Cream,New York,NY,Desserts,40.7277,-73.98768,2,920,4
Marc Forgione,New York,NY,American (New),40.71647,-74.0095599,3,904,4.5
Gato,New York,NY,Mediterranean,40.7255312,-73.9951947,3,1114,4
Rizzo's Fine Pizza,New York,NY,Pizza,40.720852,-73.984456,2,708,4.5
5 Napkin Burger,New York,NY,Burgers,40.760198,-73.991093,2,2015,3.5
John's of Times Square,New York,NY,Pizza,40.75823,-73.98836,2,2085,3.5
Kura,New York,NY,Japanese,40.726709,-73.9835794,4,456,4.5
Alimama,New York,NY,Desserts,40.71586269,-73.99928509,2,801,4.5
Vezzo,New York,NY,Pizza,40.7445,-73.98139,2,1253,4
The Mermaid Inn,New York,NY,Seafood,40.78873989,-73.97444916,2,1053,4
The Grey Dog,New York,NY,Breakfast & Brunch,40.740624,-74.000648,2,1073,4
Boqueria Spanish Tapas - Flatiron,New York,NY,Spanish,40.74029277,-73.99407098,3,1209,4
Sweet Moment,New York,NY,Coffee & Tea,40.71763,-73.99714,2,751,4.5
The Three Monkeys,New York,NY,Sports Bars,40.76405,-73.98311,2,1077,4
Café China,New York,NY,Szechuan,40.74992252,-73.98194641,2,1549,4
Craft,New York,NY,American (New),40.73818,-73.98866,4,994,4
Lure Fishbar,New York,NY,Seafood,40.72461217,-73.99857471,3,1605,4
Employees Only,New York,NY,American (New),40.73343,-74.00617,3,1425,4
Maison Pickle,New York,NY,Cocktail Bars,40.7870044,-73.9780229,2,838,4
Joe's Pizza,New York,NY,Pizza,40.75458413,-73.98700392,1,868,4
Capizzi,New York,NY,Pizza,40.75744,-73.99357,2,780,4.5
Fish,New York,NY,Seafood,40.731734,-74.003463,2,1424,4
Nobu Fifty Seven,New York,NY,Sushi Bars,40.76362108,-73.97650486,4,1150,4
Fogo de Chao Brazilian Steakhouse,New York,NY,Brazilian,40.76112157,-73.97797849,3,1122,4
Eclair Bakery,New York,NY,Bakeries,40.756722,-73.966611,2,533,4.5
The Ginger Man,New York,NY,Bars,40.749459,-73.982743,2,1336,4
Gyu-Kaku Japanese BBQ,New York,NY,Japanese,40.75537,-73.97054,3,1149,4
Five Senses,New York,NY,Korean,40.74757316,-73.98631226,2,1334,4
Gyu-Kaku Japanese BBQ,New York,NY,Japanese,40.75908,-73.98989,2,1171,4
MUD,New York,NY,Coffee & Tea,40.72905,-73.98668,2,1144,4
Tasty Hand-Pulled Noodles,New York,NY,Chinese,40.7142,-73.99787,1,1555,4
Bosie,New York,NY,Coffee & Tea,40.7277403,-73.9995539,2,912,4
La Pulperia Hell's Kitchen,New York,NY,Latin American,40.76090378,-73.99052035,3,747,4.5
Judge Roy Bean Public House,New York,NY,Pubs,40.76291581,-73.97612481,2,700,4.5
Locanda Verde,New York,NY,Italian,40.71986013,-74.01003907,3,1576,4
Rustic Table,New York,NY,Mediterranean,40.759624,-73.9958265,2,790,4
Amy's Bread,New York,NY,Bakeries,40.76121,-73.99024,1,1102,4
Chobani SoHo,New York,NY,Coffee & Tea,40.72568955,-74.00105238,1,648,4.5
Amorino Gelato,New York,NY,Gelato,40.73287818,-73.99388264,2,883,4
CajunSea & Oyster Bar,New York,NY,Cajun/Creole,40.7483352,-73.9867701,2,1184,4
Shake Shack,New York,NY,Burgers,40.778888,-73.955004,2,1356,4
Coppelia,New York,NY,Cuban,40.73897,-73.99995,2,1291,4
Red Rooster Harlem,New York,NY,American (Traditional),40.80815,-73.94488,3,3116,3.5
Luzzos La Pizza Napoletana,New York,NY,Italian,40.730616,-73.9834846,2,1025,4
Amorino Gelato,New York,NY,Gelato,40.7595642,-73.9884984,2,689,4.5
PizzArte,New York,NY,Pizza,40.76293351,-73.97766687,2,1043,4
Heidi's House By The Side Of The Road,New York,NY,Wine Bars,40.772189,-73.955029,2,588,4.5
Le Parisien,New York,NY,French,40.74540793,-73.97914783,2,927,4
Vitae,New York,NY,American (New),40.7555884,-73.9785483,3,762,4
La Maison du Macaron,New York,NY,Macarons,40.74318,-73.99419,2,876,4
Petee's Pie Company,New York,NY,Bakeries,40.71921585,-73.99128225,1,696,4.5
Room Service,New York,NY,Thai,40.76176,-73.9898,2,1801,3.5
Bobwhite Counter,New York,NY,Southern,40.72362,-73.97893,2,750,4.5
Bar Pa Tea,New York,NY,Bubble Tea,40.72136,-73.99675,1,751,4
Aunt Jake's,New York,NY,Italian,40.7190315,-73.9977161,2,1349,4
Frying Pan,New York,NY,Bars,40.7521174,-74.00900245,2,1495,4
Red Poke,New York,NY,Poke,40.7588993,-73.991915,2,518,4.5
Magnolia Bakery Rockefeller Center,New York,NY,Desserts,40.75926519,-73.98056455,2,2385,3.5
BaoHaus,New York,NY,Chinese,40.73246909,-73.9857136,2,1918,3.5
Taboonette,New York,NY,Mediterranean,40.7347009,-73.9927323,2,823,4
Penelope,New York,NY,American (Traditional),40.74371,-73.98152,2,2088,3.5
PMF Pardon My French,New York,NY,French,40.72473,-73.98115,2,934,4
Hillstone Restaurant,New York,NY,American (New),40.7427534,-73.9847308,3,916,4
Ocean Prime,New York,NY,Seafood,40.76173,-73.98063,3,531,4.5
Harney & Sons SoHo,New York,NY,Coffee & Tea,40.72143983,-73.99940086,2,709,4.5
Flex Mussels,New York,NY,Seafood,40.737437,-73.999661,2,886,4
2nd Ave Deli,New York,NY,Delis,40.74519,-73.97918,2,1166,4
Adrienne's Pizzabar,New York,NY,Pizza,40.7043362,-74.0101733,2,1613,4
Chef's Table at Brooklyn Fare,New York,NY,Japanese,40.75619308,-73.99660909,4,496,4.5
Maialino,New York,NY,Italian,40.738437,-73.985686,3,1350,4
Despaña,New York,NY,Specialty Food,40.7210686,-73.9979083,2,560,4.5
Pearl Oyster Bar,New York,NY,Seafood,40.7314099,-74.00197,3,820,4
Blue Ribbon Sushi,New York,NY,Sushi Bars,40.72612,-74.0025299,3,1077,4
The Smith,New York,NY,American (New),40.7310675,-73.9886217,2,1907,3.5
Carroll Place,New York,NY,Italian,40.7287,-73.99971,2,1007,4
Westville Chelsea,New York,NY,American (New),40.74175,-74.00007,2,1086,4
Ootoya Times Square,New York,NY,Japanese,40.75487,-73.98599,2,873,4
Ñaño Ecuadorian Kitchen,New York,NY,Latin American,40.7631,-73.99335,2,532,4.5
The Smith,New York,NY,American (New),40.77162013,-73.9818378,2,1579,4
Katsu-Hama,New York,NY,Japanese,40.75638,-73.97759,2,1228,4
Park Avenue Autumn/Winter/Spring/Summer,New York,NY,American (New),40.74197106,-73.98521058,3,894,4
Lilly's Craft and Kitchen,New York,NY,Bars,40.76138,-73.99071,2,889,4.5
Zest Sushi,New York,NY,Sushi Bars,40.71783447,-73.98995972,2,794,4
BarBacon Hell's Kitchen,New York,NY,Gastropubs,40.766253,-73.986674,2,1164,4
Wondee Siam,New York,NY,Thai,40.76495,-73.98747,2,967,4
K Rico Steakhouse,New York,NY,Bars,40.76438,-73.9880699,3,559,4.5
Nougatine at Jean-Georges,New York,NY,French,40.76891,-73.98176,3,1106,4
Stuffed Ice Cream,New York,NY,Ice Cream & Frozen Yogurt,40.72805,-73.98538,1,642,4.5
Quality Italian,New York,NY,Italian,40.76440445,-73.97678051,3,1019,4
Burger & Lobster,New York,NY,Seafood,40.75596,-73.98532,2,872,4
Sprinkles Cupcakes,New York,NY,Bakeries,40.763251,-73.967564,2,962,4
Brindle Room,New York,NY,American (New),40.72829,-73.98271,2,1000,4
Kang Ho Dong Baekjeong,New York,NY,Korean,40.74717358,-73.98521442,3,1180,4
The Kati Roll Company,New York,NY,Indian,40.75269,-73.98466,1,1490,4
BoCaphe,New York,NY,Vietnamese,40.722046,-73.997557,2,1289,4
Nino's 46,New York,NY,Italian,40.7569159,-73.980516,2,1114,4
Morgenstern's Finest Ice Cream,New York,NY,Ice Cream & Frozen Yogurt,40.72158723,-73.99310925,2,1462,4
Il Corallo Trattoria,New York,NY,Italian,40.7262073,-74.0018919,2,921,4
Gelso & Grand,New York,NY,Italian,40.71940895,-73.99737779,2,834,4
Bouchon Bakery & Cafe,New York,NY,Bakeries,40.768538,-73.982923,2,1348,4
Westville East,New York,NY,American (Traditional),40.72847,-73.98213,2,1022,4
Seasoned Vegan,New York,NY,Vegan,40.800664,-73.952757,2,1086,4
Shanghai Dumpling,New York,NY,Shanghainese,40.71726,-73.99721,1,2109,3.5
Soba-ya,New York,NY,Japanese,40.72964859,-73.98788452,2,1438,4
Pepe Rosso Social,New York,NY,Italian,40.72007,-73.99618,2,809,4
Blue Dog Cookhouse & Bar,New York,NY,Cocktail Bars,40.76244,-73.98674,2,1201,4
Indian Accent,New York,NY,Indian,40.76433446,-73.97873129,4,529,4.5
Upland,New York,NY,American (New),40.7418912,-73.9846396,3,942,4
Aux Merveilleux De Fred,New York,NY,Desserts,40.738362,-74.004134,2,325,4.5
Urbanspace Vanderbilt,New York,NY,Food Court,40.754623,-73.976605,2,629,4
Fresco Gelateria,New York,NY,Gelato,40.72881821,-73.98725189,1,468,4.5
Blend on the Water,Long Island City,NY,Latin American,40.74795208,-73.95708224,2,2981,4
Song E Napule,New York,NY,Pizza,40.72813,-74.00188,2,426,4.5
Sergimmo Salumeria,New York,NY,Italian,40.754296,-73.995498,2,661,4
Serendipity 3,New York,NY,Desserts,40.761851,-73.9649001,2,4073,3
Murray's Cheese Bar,New York,NY,American (New),40.7312,-74.00322,2,751,4
Vietnaam,New York,NY,Vietnamese,40.7791481,-73.95041656,2,747,4
Boba Guys,New York,NY,Coffee & Tea,40.720657,-73.984542,1,651,4
Basta Pasta,New York,NY,Italian,40.73881,-73.99407,2,1385,4
Xe May Sandwich Shop,New York,NY,Sandwiches,40.7272,-73.98493,1,610,4.5
Butter Lane,New York,NY,Bakeries,40.72649449,-73.9841491,1,1207,4
Taverna Kyclades - East Village,New York,NY,Greek,40.73107825,-73.9825163,2,794,4
Non Solo Piada,New York,NY,Italian,40.75414,-73.99245,2,319,4.5
Ray's Candy Store,New York,NY,Desserts,40.72627762,-73.98357075,1,371,4.5
Hill Country Barbecue Market,New York,NY,Barbeque,40.74428,-73.99041,2,2124,3.5
The Smith,New York,NY,American (New),40.74424,-73.98878,2,884,4
Boucherie Union Square,New York,NY,Steakhouses,40.73715,-73.98789,3,602,4.5
Ricardo Steak House,New York,NY,Steakhouses,40.79345204,-73.94047568,3,1005,4
Takahachi Bakery,New York,NY,Bakeries,40.71393,-74.00822,2,871,4
Tompkins Square Bagels - Avenue A,New York,NY,Bagels,40.72823,-73.9823,1,1057,4
Aquavit,New York,NY,Scandinavian,40.76079,-73.97221,4,718,4
Alice's Tea Cup Chapter II,New York,NY,Tea Rooms,40.76518,-73.96576,2,1386,3.5
Cafe D'Alsace,New York,NY,French,40.77916,-73.95104,2,1168,4
Han Dynasty,New York,NY,Szechuan,40.732072,-73.988074,2,1185,4
Boqueria,New York,NY,Spanish,40.724912,-74.0021299,2,955,4
Crispo,New York,NY,Italian,40.7392469,-74.0016882,2,936,4
Beyond Sushi,New York,NY,Vegan,40.75247,-73.98845,2,437,4.5
Mastro's Steakhouse,New York,NY,Steakhouses,40.7610374,-73.9802619,4,626,4
Osteria Morini Manhattan,New York,NY,Italian,40.72191799,-73.99764721,3,1108,4
Terri,New York,NY,Sandwiches,40.74252,-73.9923,2,843,4
Briciola,New York,NY,Italian,40.7637997,-73.98809195,2,794,4
Royal Grill Halal Food,New York,NY,Halal,40.75614,-73.98316,1,308,5
Sarge's Delicatessen & Diner,New York,NY,Delis,40.74732795,-73.97720179,2,1068,4
Margon,New York,NY,Cuban,40.75787,-73.98398,2,717,4
S'MAC,New York,NY,American (Traditional),40.730212,-73.983724,2,2151,3.5
The Jeffrey Craft Beer & Bites,New York,NY,Bars,40.7611,-73.963,2,652,4
Jun-Men Ramen Bar,New York,NY,Ramen,40.748209,-74.00047,2,584,4
Estiatorio Milos,New York,NY,Seafood,40.76368,-73.97922,4,863,4
Cull & Pistol Oyster Bar,New York,NY,Seafood,40.74265894,-74.00592854,2,612,4
Peacefood Cafe,New York,NY,Vegan,40.785326,-73.97713,2,1235,4
Taco Mahal,New York,NY,Indian,40.732337,-74.003303,2,502,4.5
Ramen-Ya,New York,NY,Ramen,40.732536,-74.001681,2,939,4
EN Japanese Brasserie,New York,NY,Japanese,40.7306,-74.00698,3,1225,4
Blue Smoke,New York,NY,Southern,40.74228,-73.98375,2,1720,3.5
The Boil,New York,NY,Cajun/Creole,40.73026447,-73.99437881,2,735,4
The Capital Grille,New York,NY,Steakhouses,40.76073909,-73.98137809,3,733,4
Basso56,New York,NY,Italian,40.7655,-73.98267,3,598,4.5
Le Botaniste,New York,NY,Wine Bars,40.76499863,-73.96598303,2,386,4.5
Westville West,New York,NY,American (Traditional),40.7340046,-74.0041863,2,920,4
Blind Tiger Ale House,New York,NY,American (Traditional),40.731926,-74.003223,2,877,4
Rex,New York,NY,Coffee & Tea,40.768877,-73.98857882,1,509,4.5
